epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1046.59,1.36829,0.94989,1.24023,0.00058,0.41372,0.00179,0.00041,0.49961,0.88202,0.49968,0.0667129,3.33204e-05,3.33204e-05
2,2010.38,1.03441,0.97675,0.72873,0.00092,0.6538,0.00446,0.00151,0.37358,1.93398,0.32103,0.0334126,6.63238e-05,6.63238e-05
3,2970.29,0.75822,1.30666,0.46081,0.00775,0.54877,0.01659,0.00677,0.24557,1.80295,0.18197,0.000111947,9.89972e-05,9.89972e-05
4,3930.51,0.60606,1.38524,0.3569,0.05166,0.28189,0.04879,0.02041,0.21939,1.29215,0.15243,9.8515e-05,9.8515e-05,9.8515e-05
5,4889.55,0.56616,1.35854,0.316,0.06539,0.26045,0.04951,0.02476,0.19871,1.1109,0.14193,9.802e-05,9.802e-05,9.802e-05
6,5847.41,0.52722,1.3731,0.29922,0.07921,0.23687,0.05915,0.02997,0.1859,1.16649,0.13594,9.7525e-05,9.7525e-05,9.7525e-05
7,6804.97,0.49219,1.3812,0.28007,0.07945,0.29796,0.06463,0.03178,0.17715,1.48169,0.13103,9.703e-05,9.703e-05,9.703e-05
8,7763.44,0.48187,1.37318,0.27239,0.10223,0.20833,0.07471,0.03247,0.17804,1.35445,0.12776,9.6535e-05,9.6535e-05,9.6535e-05
9,8720.19,0.45825,1.35839,0.25581,0.12505,0.24866,0.08994,0.04659,0.16356,1.09788,0.11699,9.604e-05,9.604e-05,9.604e-05
10,9679.05,0.45109,1.32829,0.25449,0.12128,0.26581,0.09372,0.04711,0.15975,1.03586,0.11579,9.5545e-05,9.5545e-05,9.5545e-05
11,10636,0.43645,1.31122,0.24567,0.12994,0.34191,0.10763,0.05963,0.16234,0.82934,0.12178,9.505e-05,9.505e-05,9.505e-05
12,11594.8,0.43269,1.27879,0.24328,0.1487,0.34941,0.12257,0.06646,0.16033,0.76695,0.11946,9.4555e-05,9.4555e-05,9.4555e-05
13,12552.7,0.42495,1.25951,0.24024,0.15243,0.35155,0.14163,0.07714,0.15243,0.76724,0.11148,9.406e-05,9.406e-05,9.406e-05
14,13512.1,0.41967,1.25508,0.23915,0.16824,0.35691,0.14408,0.07838,0.15478,0.91643,0.1144,9.3565e-05,9.3565e-05,9.3565e-05
15,14471,0.41815,1.23599,0.24082,0.20605,0.39871,0.17572,0.09588,0.15535,0.83747,0.11326,9.307e-05,9.307e-05,9.307e-05
16,15430.8,0.42172,1.16567,0.24251,0.26118,0.39335,0.21913,0.1177,0.16267,0.67128,0.12413,9.2575e-05,9.2575e-05,9.2575e-05
17,16390.3,0.42916,1.1237,0.25204,0.45325,0.53912,0.39371,0.20408,0.17894,0.75886,0.13998,9.208e-05,9.208e-05,9.208e-05
18,17349,0.4499,1.05661,0.2729,0.4911,0.56056,0.45367,0.23399,0.18334,0.67014,0.14522,9.1585e-05,9.1585e-05,9.1585e-05
19,18308.4,0.45679,1.01328,0.27441,0.5584,0.56788,0.52885,0.26963,0.18182,0.65425,0.13788,9.109e-05,9.109e-05,9.109e-05
20,19267.8,0.46054,0.9927,0.2882,0.57558,0.59593,0.54289,0.27904,0.1875,0.644,0.15425,9.0595e-05,9.0595e-05,9.0595e-05
21,20227.1,0.44683,0.99926,0.28311,0.62063,0.61736,0.59255,0.30268,0.18885,0.6074,0.15985,9.01e-05,9.01e-05,9.01e-05
22,21185.9,0.45109,0.95138,0.29154,0.64653,0.63127,0.61127,0.31814,0.19076,0.61523,0.15409,8.9605e-05,8.9605e-05,8.9605e-05
23,22144.5,0.44542,0.95404,0.27966,0.65027,0.65166,0.63226,0.31864,0.19278,0.56247,0.15637,8.911e-05,8.911e-05,8.911e-05
24,23103.2,0.45529,0.92224,0.28324,0.66296,0.61951,0.61297,0.3253,0.19281,0.55333,0.15891,8.8615e-05,8.8615e-05,8.8615e-05
25,24063,0.44895,0.91656,0.28287,0.60359,0.60021,0.59596,0.30895,0.18922,0.6159,0.1525,8.812e-05,8.812e-05,8.812e-05
26,25020.6,0.44386,0.893,0.27959,0.68467,0.62272,0.66144,0.3447,0.1942,0.55012,0.15698,8.7625e-05,8.7625e-05,8.7625e-05
27,25980.4,0.45132,0.88341,0.28605,0.68518,0.63344,0.6569,0.339,0.19139,0.519,0.15645,8.713e-05,8.713e-05,8.713e-05
28,26938.5,0.447,0.88728,0.28794,0.72961,0.67098,0.67157,0.3493,0.19778,0.55396,0.17398,8.6635e-05,8.6635e-05,8.6635e-05
29,27894.7,0.45175,0.8574,0.28632,0.70353,0.69183,0.68829,0.35704,0.19883,0.48126,0.18299,8.614e-05,8.614e-05,8.614e-05
30,28851.3,0.45709,0.84518,0.2892,0.71944,0.65686,0.69329,0.36386,0.19611,0.4968,0.1739,8.5645e-05,8.5645e-05,8.5645e-05
31,29808,0.44689,0.83531,0.28874,0.74652,0.67417,0.71228,0.37484,0.19702,0.48921,0.17644,8.515e-05,8.515e-05,8.515e-05
32,30766.3,0.44243,0.82543,0.28234,0.69186,0.70311,0.68386,0.37171,0.194,0.52078,0.17611,8.4655e-05,8.4655e-05,8.4655e-05
33,31723.7,0.43557,0.81723,0.28008,0.72917,0.66881,0.6694,0.36488,0.19648,0.45564,0.18487,8.416e-05,8.416e-05,8.416e-05
34,32686.3,0.43892,0.80885,0.28745,0.70657,0.70311,0.6974,0.36966,0.19632,0.46965,0.17328,8.3665e-05,8.3665e-05,8.3665e-05
35,33644.2,0.44097,0.80479,0.28291,0.73862,0.71275,0.71033,0.38433,0.19569,0.4172,0.17301,8.317e-05,8.317e-05,8.317e-05
36,34600.4,0.44936,0.80085,0.28235,0.77218,0.68596,0.73426,0.39029,0.19827,0.46287,0.17924,8.2675e-05,8.2675e-05,8.2675e-05
37,35559.4,0.44402,0.79091,0.27984,0.78465,0.68917,0.73084,0.39342,0.19708,0.44765,0.1804,8.218e-05,8.218e-05,8.218e-05
38,36519.3,0.43892,0.78309,0.28145,0.77978,0.67934,0.7272,0.39552,0.19347,0.47155,0.17241,8.1685e-05,8.1685e-05,8.1685e-05
39,37479.5,0.43057,0.7764,0.28598,0.77751,0.69025,0.73158,0.41013,0.19717,0.42092,0.18391,8.119e-05,8.119e-05,8.119e-05
40,38438.4,0.4315,0.75217,0.28261,0.78707,0.71811,0.74389,0.41169,0.19418,0.40509,0.17672,8.0695e-05,8.0695e-05,8.0695e-05
41,39400.1,0.43271,0.75908,0.27788,0.81602,0.70525,0.74066,0.41923,0.19228,0.40272,0.18022,8.02e-05,8.02e-05,8.02e-05
42,40359.4,0.44017,0.73277,0.28833,0.78873,0.72347,0.75108,0.4177,0.19403,0.43344,0.18248,7.9705e-05,7.9705e-05,7.9705e-05
43,41317.6,0.44241,0.74827,0.2921,0.77842,0.74177,0.77124,0.42896,0.19567,0.40627,0.18325,7.921e-05,7.921e-05,7.921e-05
44,42274.4,0.42867,0.74556,0.28202,0.79989,0.72562,0.76194,0.42952,0.19508,0.38306,0.17633,7.8715e-05,7.8715e-05,7.8715e-05
45,43235.9,0.43211,0.72461,0.28083,0.77434,0.73312,0.76403,0.42808,0.19123,0.39036,0.17674,7.822e-05,7.822e-05,7.822e-05
46,44195.8,0.43789,0.72161,0.28438,0.8112,0.71842,0.77288,0.42926,0.19379,0.40273,0.17671,7.7725e-05,7.7725e-05,7.7725e-05
47,45156.5,0.42502,0.71328,0.2808,0.80469,0.7419,0.78319,0.43249,0.19227,0.39754,0.17616,7.723e-05,7.723e-05,7.723e-05
48,46119.9,0.42349,0.71286,0.28085,0.79466,0.74661,0.77471,0.42951,0.19258,0.38899,0.17954,7.6735e-05,7.6735e-05,7.6735e-05
49,47077.5,0.43176,0.68299,0.27886,0.81324,0.72883,0.78106,0.43603,0.19193,0.38699,0.17675,7.624e-05,7.624e-05,7.624e-05
50,48041.5,0.42261,0.72422,0.27659,0.81903,0.75348,0.78639,0.44011,0.19369,0.37331,0.18211,7.5745e-05,7.5745e-05,7.5745e-05
51,48983.5,0.43137,0.68342,0.2778,0.80564,0.76742,0.78705,0.44046,0.19446,0.37565,0.18274,7.525e-05,7.525e-05,7.525e-05
52,49925,0.42512,0.69159,0.28058,0.81075,0.7668,0.78044,0.43905,0.19401,0.37504,0.1829,7.4755e-05,7.4755e-05,7.4755e-05
